example_id                                                | status  | run_time        |
--------------------------------------------------------- | ------- | --------------- |
./spec/features/user_oauth_authentication_spec.rb[1:1]    | passed  | 0.10837 seconds |
./spec/features/user_oauth_authentication_spec.rb[1:2:1]  | passed  | 0.01947 seconds |
./spec/features/user_oauth_authentication_spec.rb[1:2:2]  | passed  | 0.02762 seconds |
./spec/features/user_tracks_artist_spec.rb[1:1]           | pending | 0.00002 seconds |
./spec/models/geolocator_state_abbreviations_spec.rb[1:1] | passed  | 0.00171 seconds |
./spec/models/geolocator_state_abbreviations_spec.rb[1:2] | passed  | 0.00195 seconds |
./spec/models/geolocator_state_abbreviations_spec.rb[1:3] | passed  | 0.00173 seconds |
./spec/models/geolocator_state_abbreviations_spec.rb[1:4] | passed  | 0.00188 seconds |
./spec/models/geolocator_state_abbreviations_spec.rb[1:5] | passed  | 0.00189 seconds |
./spec/services/bands_in_town_nearby_events_spec.rb[1:1]  | passed  | 0.01147 seconds |
./spec/services/bands_in_town_nearby_events_spec.rb[1:2]  | passed  | 0.01379 seconds |
./spec/services/bands_in_town_nearby_events_spec.rb[1:3]  | passed  | 0.01183 seconds |
./spec/services/bands_in_town_nearby_events_spec.rb[1:4]  | passed  | 0.01077 seconds |
./spec/services/bands_in_town_nearby_events_spec.rb[1:5]  | passed  | 0.01862 seconds |
./spec/services/bands_in_town_nearby_events_spec.rb[1:6]  | passed  | 0.01202 seconds |
